crash_date,traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,damage,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month,parsed_datetime,date,time
08/11/2024 07:00:00 PM,3.0,3,2,4,6,3,3,3,2,1,3,FOLLOWING TOO CLOSELY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,19,1,8,08/11/2024,2024-08-11,19:00:00
07/20/2024 08:50:00 PM,5.0,3,6,6,6,3,3,3,2,1,4,UNABLE TO DETERMINE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,20,7,7,07/20/2024,2024-07-20,20:50:00
04/25/2024 03:30:00 PM,7.0,3,2,5,6,3,3,3,2,1,4,FAILING TO YIELD RIGHT-OF-WAY,2,2,0.0,0.0,0.0,0.0,0.0,4.0,15,5,4,04/25/2024,2024-04-25,15:30:00
05/27/2024 09:10:00 PM,5.0,3,4,6,6,3,3,3,2,1,2,IMPROPER LANE USAGE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,21,2,5,05/27/2024,2024-05-27,21:10:00
01/07/2024 02:35:00 PM,5.0,3,2,4,5,3,3,3,2,1,4,FOLLOWING TOO CLOSELY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,14,1,1,01/07/2024,2024-01-07,14:35:00
06/24/2024 11:40:00 PM,7.0,3,5,7,5,3,3,3,2,1,4,DISREGARDING STOP SIGN,2,2,0.0,0.0,0.0,0.0,0.0,2.0,23,2,6,06/24/2024,2024-06-24,23:40:00
02/07/2024 03:30:00 PM,7.0,3,2,6,5,3,3,3,2,1,4,UNABLE TO DETERMINE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,15,4,2,02/07/2024,2024-02-07,15:30:00
04/13/2024 09:45:00 AM,5.0,3,2,4,5,3,3,3,2,1,4,FAILING TO REDUCE SPEED TO AVOID CRASH,2,2,0.0,0.0,0.0,0.0,0.0,3.0,9,7,4,04/13/2024,2024-04-13,09:45:00
06/17/2024 12:05:00 AM,5.0,3,5,5,5,3,3,3,3,1,4,DISREGARDING TRAFFIC SIGNALS,2,2,0.0,0.0,0.0,0.0,0.0,3.0,0,2,6,06/17/2024,2024-06-17,00:05:00
05/20/2024 03:00:00 PM,3.0,3,2,5,5,3,3,3,3,1,4,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2,2,0.0,0.0,0.0,0.0,0.0,3.0,15,2,5,05/20/2024,2024-05-20,15:00:00
05/08/2024 06:49:00 PM,5.0,3,2,6,3,3,3,3,3,1,4,FAILING TO YIELD RIGHT-OF-WAY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,18,4,5,05/08/2024,2024-05-08,18:49:00
